max_depth,min_samples_leaf,min_samples_split,n_estimators,score
12,4,4,50,0.805 
12,4,4,50,0.779 
12,4,4,50,0.751 
3,3,4,250,0.580 
3,3,4,250,0.577 
15,5,10,100,0.792 
15,5,10,100,0.749 
15,5,10,100,0.807 
3,2,6,100,0.576 
15,4,8,25,0.747 
3,2,6,100,0.580 
3,3,4,250,0.556 
3,2,6,100,0.558 
15,4,8,25,0.771 
15,4,8,25,0.798 
6,2,12,150,0.667 
6,2,12,150,0.680 
6,2,12,150,0.691 
6,5,4,350,0.692 
6,5,4,350,0.669 
6,5,4,350,0.695 
6,4,10,150,0.672 
6,4,10,150,0.690 
6,4,10,150,0.694 
15,1,6,300,0.785 
15,1,6,300,0.828 
12,3,4,200,0.760 
15,1,6,300,0.838 
3,1,14,200,0.573 
12,3,4,200,0.801 
3,2,4,50,0.568 
3,2,4,50,0.583 
3,2,4,50,0.552 
3,1,14,200,0.581 
12,3,12,350,0.754 
3,1,14,200,0.558 
12,3,12,50,0.747 
6,1,4,25,0.686 
6,1,4,25,0.667 
12,3,12,350,0.791 
12,3,12,50,0.794 
6,1,4,25,0.694 
12,3,12,50,0.787 
3,4,10,100,0.576 
12,3,12,350,0.813 
3,4,10,100,0.578 
3,4,10,100,0.549 
12,3,4,200,0.817 
9,1,14,150,0.778 
9,1,14,150,0.763 
9,1,14,150,0.735 
12,1,14,250,0.761 
12,1,14,250,0.788 
12,1,14,250,0.807 
12,3,8,300,0.805 
12,3,8,300,0.754 
6,4,12,350,0.688 
6,4,12,350,0.667 
9,3,12,50,0.722 
9,3,12,50,0.768 
9,3,12,50,0.765 
6,3,14,200,0.686 
6,3,14,200,0.661 
6,3,6,25,0.656 
12,3,8,300,0.817 
6,3,6,25,0.687 
6,3,6,25,0.685 
6,3,14,200,0.691 
6,4,12,350,0.695 
3,3,6,250,0.578 
3,3,6,250,0.577 
3,3,6,250,0.550 
9,5,4,200,0.726 
9,5,4,200,0.771 
9,5,4,200,0.776 
6,1,12,250,0.666 
6,1,12,250,0.688 
9,2,14,100,0.727 
9,2,14,100,0.764 
6,1,12,250,0.692 
9,2,14,100,0.773 
9,5,4,250,0.731 
9,5,4,250,0.772 
9,5,4,250,0.781 
6,3,8,300,0.690 
6,3,8,300,0.688 
6,3,8,300,0.666 
6,4,4,300,0.670 
9,3,8,300,0.734 
6,4,4,300,0.691 
9,3,8,300,0.776 
9,3,8,300,0.787 
6,4,4,300,0.693 
12,4,10,250,0.754 
12,4,10,250,0.794 
9,5,8,200,0.725 
9,5,8,200,0.760 
9,5,8,200,0.776 
6,3,10,100,0.669 
6,3,10,100,0.697 
12,4,10,250,0.809 
6,3,10,100,0.684 
6,4,14,150,0.672 
6,4,14,150,0.689 
9,3,8,200,0.728 
9,3,8,200,0.769 
9,3,8,200,0.788 
12,1,4,350,0.785 
6,4,14,150,0.689 
6,2,12,50,0.665 
6,2,12,50,0.683 
3,2,8,300,0.579 
12,1,4,350,0.808 
6,2,12,50,0.684 
3,2,8,300,0.581 
3,2,8,300,0.555 
15,3,6,50,0.782 
15,3,6,50,0.795 
12,1,4,350,0.823 
15,3,6,50,0.820 
3,3,6,150,0.580 
3,3,6,150,0.560 
3,3,6,150,0.575 
9,4,10,200,0.722 
9,4,10,200,0.776 
9,4,10,200,0.779 
6,3,8,150,0.692 
6,3,8,150,0.666 
