,id
832,d8037389
970,fa34f945
96,15f2e240
587,98ed2153
450,7187caec
266,3f1f23e7
290,464a75fb
158,26aeacdf
668,a9c53cdb
572,93fda84a
70,108b8659
210,3268c574
76,119e181e
975,fad07fce
215,338146bd
634,a297d1b9
479,7bdbf66f
423,6a864b11
552,8f9c03c6
314,4b71830a
770,c6d4b453
247,3b091b83
221,350dbeba
582,95d57ff9
321,4d61a44e
355,57de6095
581,95cc96cc
292,47240aa3
538,8c0ca955
59,0d4fa8f4
568,93c06d4c
946,f584742f
168,29b37b4a
328,4f20b188
713,b712b69b
974,fab75c2c
244,3a594acf
823,d5b089a4
365,5b9ff85e
547,8ec2cc63
792,cb3b7c3c
934,f285b43c
677,abac67cc
544,8e59a69a
602,9cf04c41
880,e4762a2b
23,05e94f88
30,070386b2
309,4a6af685
10,03a9019b
801,cd89d5f1
633,a28c7891
332,5124169c
464,75b0446f
422,6a4df6ff
265,3f1cf5ba
198,2f8ec752
522,87af775e
493,806d877f
388,60c1ff37
533,8a6b6912
657,a774c63b
863,e1958a83
718,b94ec4a1
835,d9c82502
456,72c9c38d
289,4570c8b8
904,eb93a46a
381,5f099188
344,54945f30
425,6ac5763a
750,c2b40d6f
39,09331bb8
605,9d65adbf
649,a5099438
596,9b96b0e4
66,0f6b71c4
296,48db8ecf
67,0fbb3ca5
235,3826be66
430,6c2edc91
199,2fba6cf4
892,e7d08824
323,4decbcd8
807,cf1b9d44
310,4a9f92ca
260,3d736110
621,9fa68512
670,aae9800e
88,14568d61
63,0ec403df
822,d5a8d9b0
943,f47abc42
598,9c1ea003
895,e8b64419
280,432aff11
554,9027c805
784,c9879365
966,f8ff0bc8
107,1aae1de3
433,6d5944a9
687,adba23f0
981,fc49ba65
711,b4e69f09
86,14391970
594,9ab4909f
136,221e37e0
305,4a17b463
599,9cba0d0e
467,764d8b42
734,bd8397cb
213,32dcc8ab
888,e683d2c9
256,3d3b87db
737,be210bc7
889,e7401605
139,22536a61
440,6ebfdc95
675,ab54c39e
869,e23a8a0a
948,f5b2acf0
845,db9eae59
261,3d970ce4
991,fe9c71d8
527,897da2c8
55,0cbe4e54
380,5ef3d64e
532,8a645723
120,1e5f6199
806,cefdb7fe
25,064e8da5
72,10e46254
44,0a431608
306,4a475a9f
903,eaab7a96
277,428c37ea
557,9105b812
449,71852781
259,3d6143f3
370,5d3b6ea5
611,9e052412
817,d445fb74
519,86a8e0d6
249,3ba48ca7
882,e4b47411
937,f32a9580
184,2c483245
721,b9c085ab
60,0d570d3e
985,fd56e059
439,6e9beaee
462,7494989e
593,9aa1a2ae
590,9a2082cf
174,2a922ca4
294,481a1861
299,4926b18a
931,f11e17c0
218,34362a9a
319,4d19854c
231,37995242
110,1b32427b
833,d859115e
481,7c21ad67
334,51364c23
275,4280076d
898,e9d94c4e
494,8078b7de
398,63fc9770
666,a95b4487
622,9fb96ae3
576,949f94e5
525,893293dd
137,22375702
350,56d9dead
861,e0ad6550
811,d08806a2
746,c0f2a046
816,d3da09e8
906,ebf2b0c9
879,e46417a7
873,e328a032
362,5af79adb
859,e072b994
982,fc8e4de4
868,e21255e2
78,11f9b26c
29,06eb8adb
346,554e46e9
351,56ef356c
209,325afd3d
745,c0a7d046
445,7015528d
165,2898269f
559,913bea9f
490,7f44236f
855,df556fd2
65,0eddd8e5
141,22c72c4e
827,d6776176
626,a0522c83
307,4a4a0f78
662,a8b0428d
394,6282e693
644,a4530b41
588,994ee014
684,ad536dea
408,66f619e3
298,48e69212
49,0b7d9da6
723,b9e90f7f
944,f4d2f5af
542,8d8b8553
989,fdf4691f
900,ea544af3
534,8a77c3e9
521,87050a09
990,fe3cbf02
506,8376acc5
799,cd68643b
33,0745c390
31,07048067
928,f09e7b33
192,2e17c497
482,7c39c8e5
705,b37281d5
204,31b74cd4
584,96de5f57
688,adbd6839
318,4cde1e34
109,1b2eea8f
281,43629a34
77,11be5d2e
84,13eee030
638,a3858c6a
82,1314bc8c
237,3875d4de
342,53905a2c
359,58dfccdb
447,70de1c63
312,4b0f961e
615,9eb283e4
912,ecd25dd1
2,00f332d1
101,18b8b2f6
382,5f1b07e1
585,97bb0cc0
424,6abd21d4
208,3216b978
919,eeedcd5e
5,012e3869
54,0c98f822
429,6c0fe935
973,fa9a0add
867,e1ea8dd7
254,3ca35642
653,a614af1b
820,d506f4c7
97,1606f203
692,af485add
352,5779f2e9
864,e1a4575f
695,b08423c5
453,721ea536
694,b074f33b
780,c8cc2e1b
485,7dc65b92
118,1d78b3c3
361,5a313293
250,3c0aba64
643,a4481101
9,035c96dd
196,2f16cad4
601,9cee3c19
81,1301f65d
371,5d762840
760,c3dde859
617,9f3ca269
239,38d53b92
286,43f5d3c5
211,327ef356
714,b7a61f8d
920,eef79620
971,fa3e1e21
227,36530d36
852,de742c5c
507,83846d0c
793,cb73fed9
942,f47a67cc
500,81d3ab22
357,58391429
710,b452f767
327,4f059221
363,5b2c9b83
7,02cebf33
155,25eba023
539,8c1f9196
994,ffcd4dbd
477,7b543871
650,a5710c0a
918,ee67eb55
926,f028534c
377,5ea2c305
939,f4114031
930,f1049268
597,9bdd6964
411,678598dd
528,898096eb
808,cfcf9dc9
704,b308c03e
754,c38585c5
448,71850348
228,36c060b9
786,c9dabad5
837,da19c97e
212,32b8490d
79,12380b06
148,23e71e7c
302,49a1931d
331,50b2b84b
486,7e46b693
501,81feecad
774,c73dd2e4
629,a1942b0b
333,5132511c
133,218faf6f
548,8f015125
311,4aa87859
604,9d1b2d2c
436,6e128c6b
0,00115b9f
316,4ca242ea
703,b2b56219
545,8e749c85
499,81a4b826
530,8a44ea3a
660,a814e825
420,6a16089d
172,2a6a6b92
125,1f2164a4
910,ec8f8f95
728,bbd71a7c
899,ea4619ec
90,14a6e58e
935,f2d4efd8
181,2c2dc20d
274,427037b2
891,e76ad778
69,101c27f1
291,467c549f
131,214f46e8
300,4940a214
526,89739b1a
326,4e85505f
144,233b9425
858,e0655da2
578,9540fa8e
135,21eb6d47
907,ebf30e46
164,2840643b
28,06c8b2fb
957,f6d879aa
193,2e5f5207
404,6595d479
635,a2994e55
169,29c54890
483,7ce36c38
140,22b4191a
173,2a88cbe9
6,029a19c9
938,f35b607c
523,8823b020
73,113f5798
680,ac3ba541
465,75b53bd4
238,38cccd6d
145,23567787
789,ca33a5e7
234,380029ef
220,350cf38b
575,948e1435
495,807d8908
132,215ca39b
986,fdb6b48b
405,659fec57
185,2c54d6c5
41,099e3614
631,a221c60c
108,1aff6762
669,aa1700c7
56,0d01bbf2
866,e1e02e28
636,a302a015
914,ed711416
913,ed0b3906
24,063b16fc
921,ef07f833
513,857baaa6
529,89a26502
616,9ebb73c7
758,c3adae87
922,ef58dd3c
338,52ce9b8b
51,0bfe4fc9
828,d6cca65e
514,85d99199
916,ee21612e
630,a1ab89aa
264,3e5ee48c
535,8a9e653f
707,b3f5c066
679,ac1ad4a7
497,812f6873
516,860f4f9c
442,6f5677b7
18,051680a0
712,b69bf1f7
478,7b8842c3
945,f57de847
428,6b773506
367,5c22f241
83,137baaec
61,0d924604
432,6c737069
272,4177e5e5
285,43f44f6c
360,5985f299
354,57c4f2b4
451,71c1b1d2
278,429cc266
12,045a0a94
182,2c3b09db
368,5c2c136d
541,8cab7bc4
613,9e4385f7
223,351cd4ec
570,93c93585
696,b08f0ca4
925,f015a18c
543,8ddb6b8d
580,9570bfb7
761,c446e1c5
176,2ac0bd9f
764,c5462e87
625,a0182b17
583,966161e7
518,863e40c7
393,6247cc15
163,2812951b
248,3b1b9538
778,c8270746
881,e4ab3b12
667,a9b84b96
375,5e55e9fd
412,6795027a
74,11739de2
113,1b6fb363
567,93904b23
558,9130a22e
390,6187d0dc
104,19455336
114,1c063ebc
417,68fa4631
468,76781cd8
457,732b2327
409,677038b5
92,15227eef
739,bebff291
89,1470a1df
336,5264bb0e
984,fd0d9bca
917,ee2bf575
929,f0d76b32
603,9d0670dd
591,9a5aed6c
887,e63000c5
94,15dbc929
11,0417c91e
396,62cd5c74
531,8a4e5d1a
43,0a418b57
42,09b29113
329,4fd7e043
167,29587a31
798,cd39e576
872,e315fdd7
595,9b328d6c
753,c308b134
100,1837456f
426,6ac5eaaf
178,2b34dcf3
444,6fcdcb2a
416,68be3d5c
825,d6251195
884,e4e58096
656,a6fbb2e7
177,2afea280
395,62b873a2
673,ab2ad965
790,cadd4ae5
956,f6d6f400
797,cd1fff5a
383,5f37ceb1
952,f6b719ee
693,af4f064e
257,3d3dd3ae
536,8abbbc38
335,51f38b37
809,cfe4cf40
15,04cb2c30
3,01085eb3
877,e40319d7
324,4dfb4e1d
755,c38a5c9b
222,35198c2d
179,2bac0893
979,fc2c2c08
22,05db1b9b
356,57f6fa6c
664,a8d9de72
857,e0283d3d
340,537dc410
431,6c6cd633
549,8f21c613
829,d74e4d7c
203,31648caa
628,a148b46f
93,154d1191
796,cd144127
68,101774f0
620,9fa5cdfd
284,43a7386d
800,cd703872
434,6d707ac3
153,25849c6c
75,119d7562
841,db23fbe4
446,709457f3
188,2cd9b5a3
271,416b6ba2
236,384c3f27
487,7e87087b
117,1cd37b36
814,d28f0d44
512,855c6099
551,8f753551
589,99b15811
126,1f5835cd
116,1c5ba087
473,79bd36b6
819,d4d9f7f9
57,0d279d77
730,bc4eaf77
908,ec13a1b9
369,5cd83147
268,40087bc5
46,0b50f3fa
349,56cb7161
195,2f154763
995,ffed1dd5
830,d77ac332
813,d19e1025
263,3e5d5b58
443,6fb28c2a
672,ab16a20d
304,4a1440d9
341,53814642
962,f81598bf
149,24398aed
124,1eedf45e
783,c96b9609
50,0bd89878
353,579e50bd
923,ef9617e7
142,22e44415
470,7800a084
399,641697e6
689,adc2d620
320,4d5a8ce7
19,055156e2
969,f9384fa2
787,c9e419e7
936,f3020788
